-1,city,lat,lng,country
0,Malishevë,42.4822,20.7458,Kosovo
1,Prizren,42.2139,20.7397,Kosovo
2,Zubin Potok,42.9144,20.6897,Kosovo
3,Kamenicë,42.5781,21.5803,Kosovo
4,Viti,42.3214,21.3583,Kosovo
5,Shtërpcë,42.2394,21.0272,Kosovo
6,Shtime,42.4331,21.0397,Kosovo
7,Vushtrri,42.8231,20.9675,Kosovo
8,Dragash,42.0265,20.6533,Kosovo
9,Podujevë,42.9111,21.1899,Kosovo
10,Fushë Kosovë,42.6639,21.0961,Kosovo
11,Kaçanik,42.2319,21.2594,Kosovo
12,Klinë,42.6217,20.5778,Kosovo
13,Leposaviq,43.1039,20.8028,Kosovo
14,Pejë,42.6600,20.2922,Kosovo
15,Rahovec,42.3994,20.6547,Kosovo
16,Gjilan,42.4689,21.4633,Kosovo
17,Lipjan,42.5217,21.1258,Kosovo
18,Obiliq,42.6869,21.0703,Kosovo
19,Gjakovë,42.3803,20.4308,Kosovo
20,Pristina,42.6666,21.1724,Kosovo
21,Deçan,42.5378,20.2911,Kosovo
22,Istog,42.7808,20.4875,Kosovo
23,Hani i Elezit,42.1500,21.2967,Kosovo
24,Junik,42.4758,20.2772,Kosovo
25,Kllokot,42.3714,21.3744,Kosovo
26,Mamushë,42.3308,20.7269,Kosovo
27,Partesh,42.4019,21.4336,Kosovo
28,Ranillug,42.4922,21.5989,Kosovo
29,Ferizaj,42.3706,21.1553,Kosovo
30,Zveçan,42.9075,20.8403,Kosovo
31,Suharekë,42.3586,20.8250,Kosovo
32,Gllogovc,42.6283,20.8939,Kosovo
33,Mitrovicë,42.8833,20.8667,Kosovo
34,Skenderaj,42.7467,20.7886,Kosovo
35,Novobërdë,42.6178,21.4197,Kosovo
36,Graçanicë,42.6011,21.1958,Kosovo
37,Longyearbyen,78.2167,15.6333,Svalbard
38,Sanaa,15.3547,44.2066,Yemen
39,Marib,15.4210,45.3340,Yemen
40,Al Jabīn,14.7040,43.5990,Yemen
41,Hajjah,15.6917,43.6021,Yemen
42,Ibb,13.9759,44.1709,Yemen
43,Al Hudaydah,14.7979,42.9530,Yemen
44,Lahij,13.0582,44.8838,Yemen
45,Al Maḩwīt,15.4701,43.5448,Yemen
46,Taizz,13.6045,44.0394,Yemen
47,Sadah,16.9398,43.8498,Yemen
48,Dhamar,14.5575,44.3875,Yemen
49,‘Amrān,15.6594,43.9439,Yemen
50,Aḑ Ḑāli‘,13.6957,44.7314,Yemen
51,Saywun,15.9430,48.7873,Yemen
52,Al Bayda,13.9790,45.5740,Yemen
53,Zinjibār,13.1287,45.3807,Yemen
54,Rida,14.4295,44.8341,Yemen
55,'Ataq,14.5500,46.8000,Yemen
56,Al Ghaydah,16.2394,52.1638,Yemen
57,Sayhut,15.2105,51.2454,Yemen
58,Al Mukalla,14.5412,49.1259,Yemen
59,Al Ḩazm,16.1641,44.7769,Yemen
60,Zabīd,14.1951,43.3155,Yemen
61,Aden,12.7797,45.0095,Yemen
62,Hadiboh,12.6519,54.0239,Yemen
63,Ash Shihr,14.7593,49.6092,Yemen
64,Dzaoudzi,-12.7871,45.2750,Mayotte
65,Pretoria,-25.7069,28.2294,South Africa
66,Lebowakgomo,-24.1996,29.5000,South Africa
67,Potchefstroom,-26.6996,27.1000,South Africa
68,Graaff Reinet,-32.3000,24.5400,South Africa
69,Rustenburg,-25.6500,27.2400,South Africa
70,Brandfort,-28.6996,26.4700,South Africa
71,Vryheid,-27.7600,30.7900,South Africa
72,Vereeniging,-26.6496,27.9600,South Africa
73,Brits,-25.6296,27.7800,South Africa
74,Bethlehem,-28.2196,28.3000,South Africa
75,Ubomba,-27.5661,32.0833,South Africa
76,Polokwane,-23.8900,29.4500,South Africa
77,Springbok,-29.6667,17.8833,South Africa
78,Thohoyandou,-22.9500,30.4800,South Africa
79,Pietermaritzburg,-29.6100,30.3900,South Africa
80,Poffader,-29.1329,19.3834,South Africa
81,Carnarvon,-30.9496,22.1333,South Africa
82,Kroonstad,-27.6600,27.2100,South Africa
83,Alexander Bay,-28.6083,16.5033,South Africa
84,Bloemhof,-27.6496,25.5900,South Africa
85,Hermanus,-34.4096,19.2299,South Africa
86,Bethal,-26.4696,29.4500,South Africa
87,Upington,-28.4600,21.2300,South Africa
88,Tzaneen,-23.8195,30.1700,South Africa
89,Vanhynsdorp,-31.6166,18.7333,South Africa
90,Musina,-22.3400,30.0300,South Africa
91,Kimberley,-28.7468,24.7700,South Africa
92,Durban,-29.8650,30.9800,South Africa
93,Klerksdorp,-26.8800,26.6200,South Africa
94,Welkom,-27.9700,26.7300,South Africa
95,De Aar,-30.6500,24.0000,South Africa
96,Prieska,-29.6595,22.7300,South Africa
97,Saldanha,-33.0100,17.9300,South Africa
98,Middelburg,-31.5000,25.0100,South Africa
99,Port St. Johns,-31.6279,29.5283,South Africa
100,Volksrust,-27.3596,29.8900,South Africa
101,Ulundi,-28.3296,31.4100,South Africa
102,Beaufort West,-32.3496,22.5700,South Africa
103,Komatipoort,-25.4096,31.9400,South Africa
104,Nelspruit,-25.4745,30.9703,South Africa
105,Standerton,-26.9395,29.2400,South Africa
