0,Aerospatiale (Sud Aviation) Se.210 Caravelle,CRV,S210,105,778,,
1,Aerospatiale/Alenia ATR 42-300,AT4,AT43,46,494,,5625
2,Aerospatiale/Alenia ATR 42-500,AT5,AT45,46,554,,5625
3,Aerospatiale/Alenia ATR 42-600,ATR,AT46,48,554,,5625
4,Aerospatiale/Alenia ATR 72,AT7,AT72,79,590,2300,
5,Airbus A300,AB3,A30B,321,870,6670,68150
6,Airbus A300-600,ABY,A306,321,870,6670,68150
7,Airbus A310,310,A310,230,850,8200,65335
8,Airbus A318,318,A318,108,844,5950,23860
9,Airbus A319,319,A319,140,844,6900,29840
10,Airbus A320,320,A320,160,844,5700,25920
11,Airbus A321,321,A321,202,844,5600,29680
12,Airbus A330,330,,406,860,12600,139090
13,Airbus A330-200,332,A332,406,860,12600,139090
14,Airbus A330-300,333,A333,356,871,10500,97170
15,Airbus A340,340,,295,888,13350,140640
16,Airbus A340-200,342,A342,239,860,14800,155040
17,Airbus A340-300,343,A343,295,950,13350,140640
18,Airbus A340-500,345,A345,313,860,16100,214810
19,Airbus A340-600,346,A346,380,860,14600,204500
20,Airbus A350,350,,291,904,15750,129000
21,Airbus A350-1000,351,A35K,440,970,14800,156000
22,Airbus A350-900,359,A359,325,970,15000,140978
23,Airbus A380,380,,689,903,15200,310000
24,Airbus A380-800,388,A388,525,910,15200,258000
25,Antonov An-148,A81,A148,75,820,3600,15612
26,Antonov An-158,A58,A158,99,870,2500,
27,Antonov AN-72,AN7,AN72,32,600,3250,
28,Avro RJ100,AR1,RJ1H,,,,
29,Avro RJ70,AR7,RJ70,,,,
30,Avro RJ85,AR8,RJ85,,,,
31,BAe 146,146,,111,754,,
32,BAe 146-100,141,B461,111,754,,
33,BAe 146-200,142,B462,111,754,,
34,BAe 146-300,143,B463,111,754,,
35,Beechcraft 1900,BEH,B190,19,500,1600,
36,Beechcraft Baron,,BE58,5,370,,
37,Bell 212,BH2,B212,,186,,
38,Boeing 707,703,B703,160,700,7640,65900
39,Boeing 717,717,B712,111,825,3230,16031
40,Boeing 720B,B72,B720,149,980,,
41,Boeing 727,727,,125,920,4170,29069
42,Boeing 727-100,721,B721,125,920,4170,29069
43,Boeing 727-200,722,B722,155,920,4720,40060
44,Boeing 737,737,,138,800,4200,23170
45,Boeing 737 MAX 8,7M8,B38M,200,842,6704,
46,Boeing 737-200,732,B732,123,912,,
47,Boeing 737-300,733,B733,138,912,,20103
48,Boeing 737-400,734,B734,167,912,4000,23170
49,Boeing 737-500,735,B735,120,912,4450,20103
50,Boeing 737-600,736,B736,121,961,5648,26020
51,Boeing 737-700,73G,B737,135,961,6230,26020
52,Boeing 737-800,738,B738,175,961,5665,26020
53,Boeing 737-900,739,B739,195,961,6230,29660
54,Boeing 747,747,,480,895,9800,183380
55,Boeing 747-100,741,B741,480,895,9800,183380
56,Boeing 747-200,742,B742,480,895,12700,199158
57,Boeing 747-300,743,B743,608,895,12400,199158
58,Boeing 747-400,744,B744,470,913,13450,216840
59,Boeing 747-8,748,B748,605,918,14815,240410
60,Boeing 747SP,74L,B74S,,,,
61,Boeing 747SR,74R,B74R,,,,
62,Boeing 757,757,,,,,
63,Boeing 757-200,752,B752,217,913,7222,43490
64,Boeing 757-300,753,B753,289,850,8858,
65,Boeing 767,767,,,,,
66,Boeing 767-200,762,B762,218,851,7300,90770
67,Boeing 767-300,763,B763,350,851,7900,63000
68,Boeing 767-400,764,B764,375,851,10415,91000
69,Boeing 777,777,,425,1098,25883,181280
70,Boeing 777-200,772,B772,372,905,9695,117000
71,Boeing 777-200LR,77L,B77L,440,1029,17370,171176
72,Boeing 777-300,773,B773,550,1029,11120,171176
73,Boeing 777-300ER,77W,B77W,550,1029,14690,181283
74,Boeing 787,787,,230,902,14700,126900
75,Boeing 787-10,78J,B78X,323,904,12964,138700
76,Boeing 787-8,788,B788,230,903,15200,126917
77,Boeing 787-9,789,B789,292,904,15750,138700
78,Bombardier CS100,CS1,BCS1,133,870,5741,22030
79,Bombardier CS300,CS3,BCS3,160,870,6112,21277
80,Bombardier Global Express,CCX,GLEX,12,904,9630,
81,British Aerospace ATP,ATP,,68,437,1480,
82,British Aerospace Jetstream 31,J31,JS31,15,426,1760,
83,British Aerospace Jetstream 32,J32,JS32,15,426,1760,
84,British Aerospace Jetstream 41,J41,JS41,28,482,1348,
85,Canadair CL-44,CL4,CL44,160,646,8990,
86,Canadair Regional Jet 100,CR1,CRJ1,50,809,,
87,Canadair Regional Jet 1000,CRK,CRJX,102,876,,
88,Canadair Regional Jet 200,CR2,CRJ2,50,860,2491,6489
89,Canadair Regional Jet 700,CR7,CRJ7,74,818,3152,
90,Canadair Regional Jet 900,CR9,CRJ9,88,830,2500,8820
91,Cessna 172,CN1,C172,3,200,1130,212
92,Cessna 182 Skylane,CN1,C182,4,268,,329
93,Cessna 208 Caravan,CN1,C208,12,343,1759,
94,Cessna 210 Centurion,CN1,C210,6,249,,340
95,Cessna Citation CJ3,CNJ,C25B,7,770,3472,
96,Cessna Citation CJ4,CNJ,C25C,8,835,3556,
97,Cessna Citation Excel,CNJ,C56X,9,,3852,
98,Cessna Citation I,CNJ,C500,5,661,2459,2130
99,Cessna Citation II,CNJ,C550,8,700,,
100,Cessna Citation Mustang,CNJ,C510,4,630,2161,1457
101,Cessna Citation Sovereign,CNJ,C680,12,821,5220,
102,Cessna Citation X,CNJ,C750,11,972,5956,7291
103,COMAC C-919,,C919,163,834,4000,
104,Concorde,SSC,CONC,128,2145,6200,119500
105,Dassault Falcon 2000,D20,F2TH,9,916,7408,9446
106,Dassault Falcon 7X,DF7,FA7X,14,900,11000,
107,De Havilland Canada DHC-4 Caribou,DHC,DHC4,32,291,2060,
108,De Havilland Canada DHC-6 Twin Otter,DHT,DHC6,20,338,1705,
109,De Havilland Canada DHC-7 Dash 7,DH7,DHC7,51,430,4100,
110,De Havilland Canada DHC-8-300 Dash 8,DH3,DH8C,56,670,2522,6616
111,De Havilland Canada DHC-8-400 Dash 8Q,DH4,DH8D,78,670,2522,6616
112,Douglas DC-10,D10,DC10,334,,6500,82376
113,Douglas DC-3,D3F,,26,333,3420,
114,Douglas DC-6,D6F,,52,507,4840,
115,Douglas DC-9-10,D91,DC91,80,883,1055,
116,Douglas DC-9-30,D93,DC93,105,798,3095,
117,Douglas DC-9-40,D94,DC94,125,898,2880,
118,Douglas DC-9-50,D95,DC95,139,926,3325,
119,Embraer 170,E70,E170,74,888,3704,11667
120,Embraer 190,E90,E190,106,845,4445,12971
121,Embraer 195,E95,E195,115,838,4077,16214
122,Embraer EMB 110 Bandeirante,EMB,E110,,,,
123,Embraer EMB 120 Brasilia,EM2,E120,30,550,1480,
124,Embraer Legacy 600,ER3,E35L,13,838,6300,8242
125,Embraer Phenom 100,EP1,E50P,6,722,2182,1584
126,Embraer Phenom 300,EP3,E55P,11,839,,3023
127,Embraer RJ135,ER3,E135,37,833,3241,
128,Embraer RJ140,ERD,E135,,,,
129,Embraer RJ145,ER4,E145,50,833,2963,4132
130,Fairchild Dornier 328JET,FRJ,J328,30,750,3705,
131,Fairchild Dornier Do.228,D28,D228,17,,2850,
132,Fairchild Dornier Do.328,D38,D328,30,620,,
133,Fokker 100,100,F100,105,755,3111,13365
134,Fokker 50,F50,,58,454,2055,7450
135,Fokker 70,F70,,79,743,3469,13365
136,Fokker F27 Friendship,F27,,54,516,1826,
137,Gulfstream IV,GJ4,GLF4,17,850,6732,
138,Gulfstream V,GJ5,GLF5,16,850,,
139,Harbin Yunshuji Y12,YN2,,18,450,1340,
140,Hawker Siddeley HS 748,HS7,A748,49,454,2481,
141,Ilyushin IL18,IL8,IL18120,625,3700,30000,
142,Ilyushin IL62,IL6,IL62,181,860,7950,100000
143,Ilyushin IL76,IL7,IL76140,765,3800,,
144,Ilyushin IL86,ILW,IL86,350,900,5000,
145,Ilyushin IL96,I93,IL96,300,870,13500,
146,Learjet 35,LRJ,LJ35,6,774,5295,4200
147,Learjet 60,LRJ,LJ60,8,778,4454,
148,Lockheed L-188 Electra,LOE,L188,99,600,3541,
149,McDonnell Douglas MD-11,M11,MD11,347,954,13270,
150,McDonnell Douglas MD-81,M81,MD81,172,811,2900,
151,McDonnell Douglas MD-82,M82,MD82,172,811,3800,
152,McDonnell Douglas MD-83,M83,MD83,172,811,4600,
153,McDonnell Douglas MD-87,M87,MD87,130,811,4400,
154,McDonnell Douglas MD-88,M88,MD88,149,801,2205,
155,McDonnell Douglas MD-90,M90,MD90,158,801,3206,
156,NAMC YS-11,YS1,YS11,64,533,3250,
157,Partenavia P.68,PN6,,6,,,
158,Pilatus Britten-Norman BN-2A Mk III Trislander,BNT,TRIS,16,240,,
159,Pilatus Britten-Norman BN-2A/B Islander,BNI,BN2P,9,251,,
160,Pilatus PC-12,PL2,PC12,9,520,2900,1534
161,Pilatus PC-6 Turbo Porter,PL6,PC6T,10,232,,
162,Piper PA-31 Navajo,PA2,PA31,6,420,,
163,Saab 2000,S20,SB20,50,594,2526.5,5312.5
164,Saab SF340A/B,SF3,SF34,32,519,1707,3146
165,Shorts SD.360,SH6,SH36,39,371,930,2178
166,Sikorsky S-61,S61,,3,267,,
167,Sikorsky S-76,S76,,12,287,,
168,Sukhoi Superjet 100-95,SU9,SU95,98,820,2950,
169,Tupolev Tu-134,TU3,T134,78,850,1900,13200
170,Tupolev Tu-144,,T144,109,2300,2920,70000
171,Tupolev Tu-154,TU5,T154,161,850,5200,49700
172,Tupolev Tu-204,T20,T204,189,850,8500,46450
173,Yakovlev Yak-40,YK4,YK40,32,550,1800,3800
